id,nome,cognome,sesso,età
0,Nome P9R2JWFIRF,Cognome RCTAJGWB0A,M,22,
1,Nome 3VQYTUJDSN,Cognome I2G8VGG3X1,M,89,
2,Nome E6U9X0A52D,Cognome E78KFN5W9R,M,27,
3,Nome LJC52UHQHH,Cognome IGEYWKB3MJ,M,99,
4,Nome MJVQE0YMCU,Cognome 0TOH2GUX1D,M,83,
5,Nome PQSGUL89O5,Cognome TDT9WQSIJD,M,65,
6,Nome KWJKDFPLKD,Cognome FMIBFH99EJ,M,34,
7,Nome TGLSB6U9VB,Cognome ASNG98GKZS,M,95,
8,Nome ZRV6QETSZE,Cognome 4GV0NS0Q4W,M,33,
9,Nome GDMGAJXOTD,Cognome XBRVOGZNZK,M,100,
10,Nome 1O77O4PYDJ,Cognome WX0SK8BB1P,M,44,
11,Nome LX552UBV5S,Cognome S8LK7BG8EA,M,30,
12,Nome W8CSHFN2K8,Cognome FZZ9LF4B4P,M,28,
13,Nome 7QGXYLYALL,Cognome NTK26AIM7F,M,30,
14,Nome E0MX11UCGE,Cognome 38MEG2N6M5,M,24,
15,Nome A79XC5UF18,Cognome BDLP6YHPOV,M,38,
16,Nome LLJ69GZVG5,Cognome IX1MZE4BE3,M,91,
17,Nome SMZ7VZV3DJ,Cognome Y5PEO2ELMM,M,58,
18,Nome 05CL8I08VX,Cognome JZY243VUY7,M,78,
19,Nome A1PS8QP7CQ,Cognome 24FAQM6U1X,M,57,
20,Nome 1C3YCQ0D7V,Cognome P37QILCQL6,M,93,
21,Nome 1E23N1MOOY,Cognome GN4SJ8IQUZ,M,64,
22,Nome T1OVYKEZU4,Cognome XVUS6MDH3J,M,48,
23,Nome DVTQ4UA0M6,Cognome 1R4517QZWC,M,67,
24,Nome 8LRT8SDEJO,Cognome UW8SAD9Y5D,M,15,
25,Nome 38NLF6Q6PA,Cognome IBEG18QTKR,M,36,
26,Nome ZGXFGTCKQ5,Cognome 1IVLEK1XFM,M,39,
27,Nome 79I2D8DSEB,Cognome 21X4Q85GB7,M,59,
28,Nome U14ADBTP4O,Cognome SADOW5EVY8,M,83,
29,Nome UA6KMV9DHX,Cognome 6OQYEW5ZTL,M,99,
30,Nome BNJN6IMNQP,Cognome 4JNGAPAC7Q,M,30,
31,Nome ARVMGD5JFT,Cognome 539QOC1AQN,M,28,
32,Nome W2AICAKKX4,Cognome GV7LMDOIWT,M,6,
33,Nome YTXD498FG6,Cognome 6DX8GTUSXV,M,21,
34,Nome XH9W0WQB5P,Cognome IKFWZ5TPEG,M,58,
35,Nome JG0Z4GTIFL,Cognome YHRTB5E601,M,39,
36,Nome 0SD33LOR6E,Cognome B3XD4O7NPP,M,43,
37,Nome J23W9QKZOV,Cognome CLAM4Q0139,M,54,
38,Nome D9776B5D26,Cognome ZRDYX320WB,M,30,
