id;nome;cognome;sesso;eta;source_file;data_creazione;fonte
0;Nome P9r2jwfirf;Cognome Rctajgwb0a;M;22;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
1;Nome 3vqytujdsn;Cognome I2g8vgg3x1;M;89;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
2;Nome E6u9x0a52d;Cognome E78kfn5w9r;M;27;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
3;Nome Ljc52uhqhh;Cognome Igeywkb3mj;M;99;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
4;Nome Mjvqe0ymcu;Cognome 0toh2gux1d;M;83;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
5;Nome Pqsgul89o5;Cognome Tdt9wqsijd;M;65;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
6;Nome Kwjkdfplkd;Cognome Fmibfh99ej;M;34;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
7;Nome Tglsb6u9vb;Cognome Asng98gkzs;M;95;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
8;Nome Zrv6qetsze;Cognome 4gv0ns0q4w;M;33;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
9;Nome Gdmgajxotd;Cognome Xbrvogznzk;M;100;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
10;Nome 1o77o4pydj;Cognome Wx0sk8bb1p;M;44;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
11;Nome Lx552ubv5s;Cognome S8lk7bg8ea;M;30;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
12;Nome W8cshfn2k8;Cognome Fzz9lf4b4p;M;28;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
13;Nome 7qgxylyall;Cognome Ntk26aim7f;M;30;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
14;Nome E0mx11ucge;Cognome 38meg2n6m5;M;24;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
15;Nome A79xc5uf18;Cognome Bdlp6yhpov;M;38;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
16;Nome Llj69gzvg5;Cognome Ix1mze4be3;M;91;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
17;Nome Smz7vzv3dj;Cognome Y5peo2elmm;M;58;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
18;Nome 05cl8i08vx;Cognome Jzy243vuy7;M;78;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_10000.csv;2022-10-26T10:29:33.000+02:00;test
