id;nome;cognome;sesso;eta;source_file;data_creazione;fonte
0;Nome 9v3vixcwdn;Cognome Ngclofkeze;M;50;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
1;Nome 9uvouvzm8t;Cognome Uq8lxbyu7b;M;15;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
2;Nome Ahonjb4w9q;Cognome O7ppqclwy1;M;17;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
3;Nome Ngbyzyp339;Cognome Qrcdvbl1v3;M;45;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
4;Nome Yqw2tijw91;Cognome 2k3lrsxpjx;M;53;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
5;Nome S9hahjdvx1;Cognome 4hrb3h23if;M;21;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
6;Nome Ho7hm7arht;Cognome Hnewgeoabu;M;40;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
7;Nome Vrvnal2kcn;Cognome Ykrkrfdxiw;M;16;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
8;Nome 319rh932bt;Cognome 33yjdbx08z;M;39;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
9;Nome Uc1q4dhkf3;Cognome Tg93gguozv;M;61;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
10;Nome 8s2dijzp19;Cognome Ix3q7jc5ri;M;98;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
11;Nome 0krexby1uc;Cognome Md4utwns0f;M;33;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
12;Nome Wlrn3kwzbz;Cognome 38tbvlnimb;M;76;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_100.csv;2022-10-26T10:29:33.000+02:00;test
