id;nome;anno_nascita;source_file;data_creazione;fonte
1;Nome Auotre 1;1945;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
2;Nome Auotre 2;1946;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
3;Nome Auotre 3;1947;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
4;Nome Auotre 4;1948;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
5;Nome Auotre 5;1949;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
6;Nome Auotre 6;1950;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
7;Nome Auotre 7;1951;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
8;Nome Auotre 8;1952;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
9;Nome Auotre 9;1953;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
10;Nome Auotre 10;1954;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
11;Nome Auotre 11;1955;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
12;Nome Auotre 12;1956;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
13;Nome Auotre 13;1957;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
14;Nome Auotre 14;1958;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
15;Nome Auotre 15;1959;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
16;Nome Auotre 16;1960;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
17;Nome Auotre 17;1961;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
18;Nome Auotre 18;1962;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
19;Nome Auotre 19;1963;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/opere/autori/fonte 1/processed/Dati di input Raw Zone - Autori1.csv;2022-09-23T11:02:20.000+02:00;fonte 1
