id;nome;cognome;sesso;eta;source_file;data_creazione;fonte
0;Nome Mf5fqlnhlk;Cognome 36eo9zpien;M;46;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
1;Nome E5istqpnm9;Cognome Byu08vnnj8;M;79;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
2;Nome X7m1440ken;Cognome 5rm9skrm8q;M;26;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
3;Nome 8vozr3a9eu;Cognome E82gccbig8;M;20;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
4;Nome Siowwknur8;Cognome Az91t53zjj;M;33;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
5;Nome N4378eta3s;Cognome Eighoq4gxa;M;28;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
6;Nome L3g23g3dwh;Cognome 3q8zqcybaf;M;10;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
7;Nome Ybju6wcn4t;Cognome Cqtapaws7z;M;63;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
8;Nome 4x6xjwcq9m;Cognome G54tywhkif;M;25;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
9;Nome Uid4d4kc4w;Cognome 1569rvfp0r;M;40;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
10;Nome Thyh8xpzxi;Cognome 15pppxz4bb;M;87;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
11;Nome Pzoq2nnuua;Cognome Vhioutlq20;M;7;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
12;Nome Sdoe5q2qpz;Cognome Pudu4ffabk;M;26;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
13;Nome Kcn5s7w1vd;Cognome 1ydlvbe2fx;M;51;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
14;Nome 581tszc6pj;Cognome L5sdax31v0;M;79;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
15;Nome 9n8fb90rad;Cognome K9jtqijlkp;M;58;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
16;Nome 8vklbk9hg4;Cognome T4eiymxpwi;M;91;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
17;Nome Viiep0u9y6;Cognome 6xqxibim9z;M;80;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
18;Nome 9d20t9baes;Cognome 4tvj7g4ure;M;92;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
19;Nome Kt2261v2fq;Cognome Sgr1zvvptj;M;91;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
20;Nome Tdbja84glh;Cognome Ctjtfq2hb4;M;97;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
21;Nome Qd9gnor274;Cognome Gfe1x7trxx;M;53;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
22;Nome 3g0kypxv7a;Cognome Dgaxcf4m1z;M;86;C:/stefano/Universita/Anno 5/Tesi e Stage/progetto cms brescia musei/data_lake_brescia_musei/raw/visitatori/elenco/test/processed/raw_visitatori_1000.csv;2022-10-26T10:29:33.000+02:00;test
